epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.931,0.90234,1.27707,0.9003,1,0.39536,0.99202,0.7671,0.86854,1.95802,0.86321,0.000653333,0.000653333,0.000653333
2,1209.34,0.81322,0.65634,0.88364,0.99408,0.9949,0.99423,0.82676,0.63353,0.98153,0.83235,0.00129386,0.00129386,0.00129386
3,1885.13,0.78139,0.60925,0.87342,0.99763,0.99976,0.99496,0.81408,0.71185,0.56629,0.84006,0.00190799,0.00190799,0.00190799
4,2478.19,0.7764,0.58099,0.87515,0.99796,0.99822,0.99498,0.80352,0.73652,0.55591,0.86311,0.0018812,0.0018812,0.0018812
5,2967.6,0.73995,0.53514,0.86568,0.99881,0.99833,0.99499,0.79835,0.8091,0.51805,0.87658,0.0018416,0.0018416,0.0018416
6,3475.63,0.73418,0.51402,0.86841,0.99803,0.99881,0.99492,0.82632,0.69328,0.46476,0.84313,0.001802,0.001802,0.001802
7,3981.06,0.70639,0.48147,0.8649,0.99801,0.99822,0.99498,0.91066,0.43212,0.37367,0.80086,0.0017624,0.0017624,0.0017624
8,4490.44,0.69746,0.45507,0.85724,0.99882,0.99977,0.995,0.87585,0.51658,0.41326,0.821,0.0017228,0.0017228,0.0017228
9,5016.64,0.67173,0.44967,0.85684,0.99941,0.99929,0.995,0.85329,0.60726,0.45413,0.83419,0.0016832,0.0016832,0.0016832
10,5512.49,0.65777,0.42705,0.85129,1,0.99909,0.995,0.88633,0.49107,0.37074,0.81263,0.0016436,0.0016436,0.0016436
11,6007.42,0.63616,0.41286,0.8448,0.99967,0.99881,0.995,0.82727,0.68151,0.40737,0.85492,0.001604,0.001604,0.001604
12,6530.12,0.64095,0.40693,0.8469,0.99882,0.99934,0.995,0.80681,0.80307,0.38847,0.87059,0.0015644,0.0015644,0.0015644
13,7025.62,0.62806,0.39256,0.84543,0.99941,0.99936,0.995,0.90124,0.45952,0.32318,0.80769,0.0015248,0.0015248,0.0015248
14,7521.15,0.63431,0.38761,0.8442,0.99698,0.99822,0.99499,0.89641,0.4928,0.31705,0.81538,0.0014852,0.0014852,0.0014852
15,8015.64,0.60023,0.37692,0.83891,0.99861,0.99941,0.995,0.89877,0.46671,0.30272,0.81028,0.0014456,0.0014456,0.0014456
16,8512.58,0.58404,0.36283,0.8366,0.99691,1,0.99499,0.84223,0.69585,0.34926,0.85091,0.001406,0.001406,0.001406
17,9009.96,0.5657,0.35687,0.84048,0.99822,0.99997,0.995,0.91195,0.44882,0.28806,0.80516,0.0013664,0.0013664,0.0013664
18,9502.61,0.53245,0.34421,0.82395,0.99936,1,0.995,0.91649,0.42599,0.27943,0.80287,0.0013268,0.0013268,0.0013268
19,10005.2,0.47503,0.32528,0.81849,0.9987,0.99881,0.99489,0.93802,0.35712,0.27168,0.78963,0.0012872,0.0012872,0.0012872
20,10507.1,0.49313,0.33052,0.82362,0.99504,0.99644,0.99496,0.93422,0.37313,0.30081,0.79005,0.0012476,0.0012476,0.0012476
21,11002.4,0.46902,0.31391,0.81762,0.99941,0.99899,0.995,0.93326,0.37401,0.27701,0.79008,0.001208,0.001208,0.001208
22,11496.7,0.46905,0.3087,0.81868,0.99868,0.99881,0.99499,0.96195,0.29936,0.2494,0.78029,0.0011684,0.0011684,0.0011684
23,11991.9,0.43304,0.29903,0.81381,0.99963,1,0.995,0.96291,0.28433,0.23214,0.77791,0.0011288,0.0011288,0.0011288
